Tarih,İzmir,Aliağa,Çeşme,Bergama,Manisa,Akhisar,Salihli,Çiğli,Menderes,Alaşehir,Demirci,Güzelyalı,Kula,Ödemiş,Soma,Urla
2021-02-01 00:00:00,0.64,0.24,0.56,0.44,0.24,0.32,0.0,0.68,0.36,,,,,,,
2021-02-01 01:00:00,0.68,0.32,0.533,0.32,0.307,0.36,0.16,0.707,0.427,,,,,,,
2021-02-01 02:00:00,0.72,0.4,0.507,0.2,0.373,0.4,0.32,0.733,0.493,,,,,,,
2021-02-01 03:00:00,0.56,0.64,0.32,0.24,0.48,0.32,0.36,0.56,0.2,,,,,,,
2021-02-01 04:00:00,0.627,0.693,0.36,0.267,0.573,0.467,0.467,0.627,0.347,,,,,,,
2021-02-01 05:00:00,0.693,0.747,0.4,0.293,0.667,0.613,0.573,0.693,0.493,,,,,,,
2021-02-01 06:00:00,0.76,0.8,0.44,0.32,0.76,0.76,0.68,0.76,0.64,,,,,,,
2021-02-01 07:00:00,0.72,0.68,0.293,0.4,0.533,0.587,0.573,0.573,0.733,,,,,,,
2021-02-01 08:00:00,0.68,0.56,0.147,0.48,0.307,0.413,0.467,0.387,0.827,,,,,,,
2021-02-01 09:00:00,0.64,0.44,0.0,0.56,0.08,0.24,0.36,0.2,0.92,,,,,,,
2021-02-01 10:00:00,0.547,0.36,0.08,0.413,0.053,0.187,0.28,0.133,0.68,,,,,,,
2021-02-01 11:00:00,0.453,0.28,0.16,0.267,0.027,0.133,0.2,0.067,0.44,,,,,,,
2021-02-01 12:00:00,0.36,0.2,0.24,0.12,0.0,0.08,0.12,0.0,0.2,,,,,,,
2021-02-01 13:00:00,0.267,0.347,0.413,0.227,0.04,0.093,0.12,0.067,0.2,,,,,,,
2021-02-01 14:00:00,0.173,0.493,0.587,0.333,0.08,0.107,0.12,0.133,0.2,,,,,,,
2021-02-01 15:00:00,0.2,0.48,0.44,0.36,0.2,0.24,0.08,0.2,0.12,,,,,,,
2021-02-01 16:00:00,0.28,0.573,0.413,0.507,0.36,0.32,0.093,0.24,0.293,,,,,,,
2021-02-01 17:00:00,0.36,0.667,0.387,0.653,0.52,0.4,0.107,0.28,0.467,,,,,,,
2021-02-01 18:00:00,0.44,0.76,0.36,0.8,0.68,0.48,0.12,0.32,0.64,,,,,,,
2021-02-01 19:00:00,0.4,0.76,0.547,0.76,0.533,0.533,0.16,0.44,0.507,,,,,,,
