Tarih,İzmir,Aliağa,Çeşme,Bergama,Manisa,Akhisar,Salihli,Çiğli,Menderes,Alaşehir,Demirci,Güzelyalı,Kula,Ödemiş,Soma,Urla,Unnamed: 17
2021-02-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 09:00:00,21.685,19.85,13.253,21.176,23.557,23.839,24.817,21.035,21.621,,,,,,,,
2021-02-01 10:00:00,139.222,135.315,95.329,142.546,147.648,145.272,145.702,138.253,137.599,,,,,,,,
2021-02-01 11:00:00,279.059,274.967,197.11,287.47,294.341,295.506,300.05,276.379,276.017,,,,,,,,
2021-02-01 12:00:00,380.431,374.569,279.233,389.07,399.355,408.641,418.311,384.217,375.744,,,,,,,,
2021-02-01 13:00:00,443.655,435.306,337.807,449.255,463.623,483.613,499.164,457.809,437.519,,,,,,,,
2021-02-01 14:00:00,465.544,453.533,361.055,464.082,481.242,509.483,528.745,487.84,458.156,,,,,,,,
2021-02-01 15:00:00,434.448,412.052,311.01,412.466,426.518,447.465,458.636,448.688,424.793,,,,,,,,
2021-02-01 16:00:00,363.339,333.632,233.011,324.781,334.437,345.324,347.579,367.608,352.657,,,,,,,,
2021-02-01 17:00:00,216.329,170.829,104.188,166.725,213.241,205.85,191.829,203.443,221.775,,,,,,,,
2021-02-01 18:00:00,113.54,88.974,53.052,85.944,110.551,105.504,100.228,103.932,115.282,,,,,,,,
2021-02-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 09:00:00,7.785,11.22,16.527,8.672,3.679,10.463,24.658,9.872,7.921,,,,,,,,
2021-02-02 10:00:00,44.705,70.176,110.027,48.62,22.35,47.693,131.305,49.29,52.626,,,,,,,,
2021-02-02 11:00:00,83.373,134.445,214.291,83.421,48.93,82.406,255.996,76.332,110.406,,,,,,,,
2021-02-02 12:00:00,108.763,171.778,278.753,95.045,102.399,162.751,352.308,96.795,142.981,,,,,,,,
2021-02-02 13:00:00,121.765,186.427,308.312,89.162,165.335,258.12,417.572,107.94,156.023,,,,,,,,
2021-02-02 14:00:00,124.992,181.051,306.126,73.536,209.913,327.813,437.345,109.082,155.664,,,,,,,,
2021-02-02 15:00:00,127.304,153.387,269.442,61.967,170.824,288.746,360.875,102.691,153.512,,,,,,,,
2021-02-02 16:00:00,117.708,114.519,211.492,47.772,112.702,216.482,254.415,87.414,137.929,,,,,,,,
2021-02-02 17:00:00,87.707,70.585,102.006,61.834,80.017,100.892,122.613,84.956,93.653,,,,,,,,
2021-02-02 18:00:00,46.902,40.324,57.381,34.501,47.421,55.874,67.788,45.213,50.762,,,,,,,,
2021-02-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 09:00:00,16.138,14.701,8.528,15.64,17.168,23.237,24.919,15.271,14.413,,,,,,,,
2021-02-03 10:00:00,96.147,95.055,54.508,96.889,96.155,121.923,136.968,94.631,85.648,,,,,,,,
2021-02-03 11:00:00,190.85,197.444,108.148,196.958,183.409,232.6,277.526,191.936,171.536,,,,,,,,
2021-02-03 12:00:00,258.708,295.35,172.436,301.745,242.523,337.125,381.92,278.065,239.027,,,,,,,,
2021-02-03 13:00:00,300.549,377.58,234.364,395.058,275.304,422.26,450.837,345.618,285.964,,,,,,,,
2021-02-03 14:00:00,320.013,427.381,280.778,452.86,287.29,467.243,476.176,385.05,311.221,,,,,,,,
2021-02-03 15:00:00,334.212,411.509,298.007,425.116,299.312,425.341,428.573,382.02,320.481,,,,,,,,
2021-02-03 16:00:00,315.349,353.178,281.908,353.01,282.248,341.655,342.101,339.952,297.416,,,,,,,,
2021-02-03 17:00:00,204.123,215.121,223.558,205.313,199.981,190.345,205.107,213.752,213.29,,,,,,,,
2021-02-03 18:00:00,115.614,121.564,125.517,114.992,111.109,106.418,111.31,120.667,120.714,,,,,,,,
2021-02-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 09:00:00,30.063,27.327,21.835,27.927,30.691,33.103,36.395,28.113,30.563,,,,,,,,
2021-02-04 10:00:00,169.127,162.304,141.881,164.101,168.942,172.431,177.846,163.567,170.33,,,,,,,,
2021-02-04 11:00:00,329.433,319.637,286.573,322.515,327.311,330.622,335.836,321.243,331.237,,,,,,,,
2021-02-04 12:00:00,453.17,441.851,410.748,445.117,448.998,451.529,458.1,444.285,454.849,,,,,,,,
2021-02-04 13:00:00,536.743,525.037,505.26,528.11,530.61,532.007,540.561,528.554,537.891,,,,,,,,
2021-02-04 14:00:00,570.502,559.539,554.018,561.767,563.016,562.732,572.297,563.77,571.184,,,,,,,,
2021-02-04 15:00:00,527.817,519.314,519.342,519.532,521.334,517.833,523.618,522.086,529.28,,,,,,,,
2021-02-04 16:00:00,436.671,431.007,434.749,429.114,431.637,425.277,426.938,432.18,438.87,,,,,,,,
2021-02-04 17:00:00,272.399,268.131,275.159,264.362,267.614,256.801,261.736,269.44,273.553,,,,,,,,
2021-02-04 18:00:00,150.296,147.832,155.25,144.111,146.229,138.062,139.538,148.99,151.425,,,,,,,,
2021-02-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 09:00:00,31.608,28.891,20.949,29.452,31.292,34.219,38.079,29.624,31.788,,,,,,,,
2021-02-05 10:00:00,171.312,164.726,133.823,165.726,166.675,171.83,180.772,165.701,171.338,,,,,,,,
2021-02-05 11:00:00,331.315,322.148,275.346,322.676,322.065,326.844,339.272,323.07,331.836,,,,,,,,
2021-02-05 12:00:00,454.755,445.054,403.259,444.31,445.275,448.808,460.614,445.968,456.177,,,,,,,,
2021-02-05 13:00:00,538.145,529.295,506.107,526.787,531.187,532.791,541.504,530.285,540.726,,,,,,,,
2021-02-05 14:00:00,571.829,564.698,563.648,560.357,568.185,567.454,572.256,565.602,575.503,,,,,,,,
2021-02-05 15:00:00,529.054,524.009,528.716,518.636,526.354,523.693,526.513,523.621,533.108,,,,,,,,
2021-02-05 16:00:00,438.005,435.007,442.088,429.08,435.71,431.413,432.728,433.564,441.969,,,,,,,,
2021-02-05 17:00:00,268.797,269.876,270.849,265.842,267.082,264.503,264.303,266.735,271.243,,,,,,,,
2021-02-05 18:00:00,149.687,150.61,153.698,146.249,147.625,142.909,142.385,148.956,150.706,,,,,,,,
2021-02-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-05 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-06 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
