Tarih,İzmir,Aliağa,Çeşme,Bergama,Manisa,Akhisar,Salihli,Çiğli,Menderes,Alaşehir,Demirci,Güzelyalı,Kula,Ödemiş,Soma,Urla
2021-02-01 00:00:00,5.171,8.368,12.943,0.905,0.921,1.905,3.142,9.162,2.894,,,,,,,
2021-02-01 01:00:00,5.357,8.827,13.499,1.078,1.025,1.98,3.294,9.38,3.014,,,,,,,
2021-02-01 02:00:00,5.545,9.287,14.057,1.253,1.14,2.055,3.447,9.606,3.141,,,,,,,
2021-02-01 03:00:00,5.597,8.979,13.96,0.837,1.325,1.701,3.911,9.755,2.88,,,,,,,
2021-02-01 04:00:00,5.442,9.777,14.307,0.725,1.297,1.807,3.848,9.759,2.971,,,,,,,
2021-02-01 05:00:00,5.293,10.577,14.66,0.666,1.295,1.943,3.796,9.767,3.062,,,,,,,
2021-02-01 06:00:00,5.153,11.38,15.018,0.674,1.319,2.104,3.753,9.778,3.155,,,,,,,
2021-02-01 07:00:00,5.157,11.493,14.65,0.956,1.384,2.107,3.823,9.497,3.472,,,,,,,
2021-02-01 08:00:00,5.161,11.607,14.283,1.365,1.45,2.122,3.893,9.218,3.795,,,,,,,
2021-02-01 09:00:00,5.164,11.722,13.916,1.816,1.515,2.148,3.963,8.943,4.122,,,,,,,
2021-02-01 10:00:00,6.075,11.733,14.145,2.609,2.351,2.738,4.192,9.802,5.241,,,,,,,
2021-02-01 11:00:00,6.988,11.745,14.373,3.422,3.194,3.38,4.425,10.665,6.378,,,,,,,
2021-02-01 12:00:00,7.901,11.757,14.602,4.245,4.04,4.048,4.659,11.53,7.526,,,,,,,
2021-02-01 13:00:00,8.169,11.6,14.372,4.481,4.431,5.034,5.008,11.664,7.945,,,,,,,
2021-02-01 14:00:00,8.508,11.577,14.231,4.824,4.91,6.095,5.357,11.856,8.413,,,,,,,
2021-02-01 15:00:00,8.182,12.555,15.505,6.169,4.921,6.362,5.214,12.062,7.902,,,,,,,
2021-02-01 16:00:00,8.348,12.029,14.614,5.62,4.86,6.024,5.225,12.085,8.027,,,,,,,
2021-02-01 17:00:00,8.515,11.551,13.821,5.118,4.8,5.691,5.237,12.108,8.153,,,,,,,
2021-02-01 18:00:00,8.682,11.126,13.141,4.68,4.741,5.364,5.251,12.132,8.28,,,,,,,
2021-02-01 19:00:00,8.263,11.103,13.527,4.677,4.437,5.169,5.272,11.63,8.039,,,,,,,
2021-02-01 20:00:00,7.875,11.172,13.987,4.718,4.135,4.993,5.303,11.263,7.835,,,,,,,
2021-02-01 21:00:00,7.521,11.332,14.515,4.802,3.836,4.839,5.342,11.043,7.67,,,,,,,
2021-02-01 22:00:00,6.959,10.505,12.749,5.487,3.52,5.02,4.963,10.327,7.203,,,,,,,
2021-02-01 23:00:00,6.397,9.707,10.992,6.182,3.204,5.412,4.624,9.613,6.743,,,,,,,
2021-02-02 00:00:00,5.836,8.943,9.249,6.883,2.889,5.974,4.332,8.901,6.29,,,,,,,
2021-02-02 01:00:00,5.267,8.262,8.46,6.0,2.716,5.879,4.111,7.608,5.678,,,,,,,
2021-02-02 02:00:00,4.704,7.583,7.688,5.119,2.601,5.786,3.891,6.316,5.083,,,,,,,
2021-02-02 03:00:00,7.62,9.782,8.202,5.882,5.582,8.05,5.952,8.543,7.858,,,,,,,
2021-02-02 04:00:00,6.665,8.413,7.246,5.029,4.432,6.474,4.976,7.561,7.209,,,,,,,
2021-02-02 05:00:00,5.715,7.043,6.297,4.235,3.296,4.902,4.003,6.582,6.604,,,,,,,
2021-02-02 06:00:00,4.773,5.675,5.359,3.539,2.2,3.34,3.033,5.608,6.057,,,,,,,
2021-02-02 07:00:00,4.5,6.11,5.253,3.377,1.757,2.095,2.939,6.009,5.597,,,,,,,
2021-02-02 08:00:00,4.228,6.571,5.247,3.223,1.319,0.853,2.847,6.424,5.138,,,,,,,
2021-02-02 09:00:00,3.955,7.054,5.341,3.08,0.891,0.419,2.756,6.852,4.68,,,,,,,
2021-02-02 10:00:00,3.957,7.281,5.996,3.342,1.069,0.308,2.735,6.638,4.615,,,,,,,
2021-02-02 11:00:00,3.96,7.541,6.652,3.609,1.248,0.758,2.718,6.425,4.551,,,,,,,
2021-02-02 12:00:00,3.962,7.829,7.308,3.88,1.427,1.27,2.706,6.211,4.488,,,,,,,
2021-02-02 13:00:00,3.83,7.42,7.128,3.804,1.541,1.266,2.492,5.985,4.437,,,,,,,
2021-02-02 14:00:00,3.7,7.024,6.959,3.743,1.655,1.264,2.284,5.76,4.385,,,,,,,
2021-02-02 15:00:00,4.407,8.831,8.57,5.314,1.432,0.849,1.355,7.385,5.224,,,,,,,
2021-02-02 16:00:00,3.725,7.916,7.984,4.518,1.217,0.868,1.167,6.571,4.262,,,,,,,
2021-02-02 17:00:00,3.043,7.035,7.401,3.732,1.049,1.045,0.987,5.759,3.315,,,,,,,
2021-02-02 18:00:00,2.362,6.202,6.824,2.963,0.955,1.317,0.82,4.947,2.405,,,,,,,
2021-02-02 19:00:00,2.055,5.767,6.454,2.468,0.813,1.16,1.068,4.485,1.866,,,,,,,
2021-02-02 20:00:00,1.749,5.335,6.084,1.985,0.677,1.262,1.326,4.025,1.362,,,,,,,
2021-02-02 21:00:00,1.443,4.907,5.714,1.522,0.551,1.574,1.591,3.565,0.952,,,,,,,
2021-02-02 22:00:00,1.427,4.318,5.417,0.79,0.394,1.493,1.576,3.496,0.865,,,,,,,
2021-02-02 23:00:00,1.444,3.755,5.122,0.094,0.262,1.419,1.562,3.434,0.795,,,,,,,
2021-02-03 00:00:00,1.492,3.23,4.831,0.685,0.208,1.354,1.548,3.379,0.745,,,,,,,
2021-02-03 01:00:00,1.385,3.005,4.672,0.701,0.112,1.212,1.599,3.193,0.521,,,,,,,
2021-02-03 02:00:00,1.286,2.801,4.519,0.72,0.119,1.069,1.659,3.007,0.304,,,,,,,
2021-02-03 03:00:00,1.979,1.972,4.201,0.371,0.981,0.715,2.544,2.547,1.103,,,,,,,
2021-02-03 04:00:00,1.767,1.369,3.553,0.308,0.569,0.17,2.077,2.427,0.816,,,,,,,
2021-02-03 05:00:00,1.625,0.793,2.92,0.248,0.251,0.397,1.632,2.347,0.859,,,,,,,
2021-02-03 06:00:00,1.57,0.39,2.314,0.196,0.422,0.948,1.234,2.313,1.195,,,,,,,
2021-02-03 07:00:00,1.557,0.847,1.574,0.434,0.479,0.889,1.202,2.021,1.142,,,,,,,
2021-02-03 08:00:00,1.543,1.685,0.982,0.831,0.541,0.832,1.171,1.752,1.088,,,,,,,
2021-02-03 09:00:00,1.53,2.554,0.901,1.242,0.606,0.776,1.142,1.518,1.035,,,,,,,
2021-02-03 10:00:00,1.258,2.462,1.333,1.233,0.616,0.376,0.552,1.45,0.933,,,,,,,
2021-02-03 11:00:00,0.998,2.371,1.777,1.229,0.637,0.507,0.433,1.386,0.84,,,,,,,
2021-02-03 12:00:00,0.763,2.279,2.227,1.228,0.669,0.975,0.977,1.327,0.76,,,,,,,
2021-02-03 13:00:00,0.287,1.358,1.402,0.404,0.518,1.366,0.863,0.918,0.369,,,,,,,
2021-02-03 14:00:00,0.295,0.624,0.618,0.487,0.59,1.798,0.957,1.007,0.058,,,,,,,
2021-02-03 15:00:00,1.77,2.228,1.351,2.105,1.112,2.514,1.513,2.116,0.698,,,,,,,
2021-02-03 16:00:00,1.462,1.941,1.368,1.804,1.006,1.921,1.33,1.831,0.729,,,,,,,
2021-02-03 17:00:00,1.17,1.744,1.471,1.512,0.905,1.338,1.151,1.549,0.76,,,,,,,
