Tarih,İzmir,Aliağa,Çeşme,Bergama,Manisa,Akhisar,Salihli,Çiğli,Menderes,Alaşehir,Demirci,Güzelyalı,Kula,Ödemiş,Soma,Urla
2021-02-01 00:00:00,2.59,2.764,2.852,1.023,2.399,1.963,3.051,2.815,2.312,,,,,,,
2021-02-01 01:00:00,2.57,2.749,2.839,0.967,2.285,1.98,3.047,2.787,2.258,,,,,,,
2021-02-01 02:00:00,2.551,2.735,2.828,0.926,2.192,1.995,3.043,2.76,2.209,,,,,,,
2021-02-01 03:00:00,2.709,2.834,2.829,0.979,2.888,2.403,3.185,2.855,2.458,,,,,,,
2021-02-01 04:00:00,2.674,2.853,2.849,1.216,2.749,2.265,3.134,2.836,2.442,,,,,,,
2021-02-01 05:00:00,2.636,2.87,2.868,1.516,2.606,2.145,3.082,2.817,2.427,,,,,,,
2021-02-01 06:00:00,2.596,2.884,2.886,1.84,2.466,2.042,3.028,2.797,2.413,,,,,,,
2021-02-01 07:00:00,2.595,2.891,2.891,2.352,2.477,2.114,3.018,2.813,2.457,,,,,,,
2021-02-01 08:00:00,2.595,2.899,2.897,2.596,2.487,2.186,3.009,2.83,2.493,,,,,,,
2021-02-01 09:00:00,2.594,2.906,2.903,2.724,2.495,2.256,2.999,2.848,2.524,,,,,,,
2021-02-01 10:00:00,2.613,2.902,2.906,2.849,2.579,2.427,3.025,2.828,2.598,,,,,,,
2021-02-01 11:00:00,2.628,2.898,2.91,2.915,2.619,2.535,3.049,2.81,2.646,,,,,,,
2021-02-01 12:00:00,2.638,2.894,2.913,2.956,2.642,2.608,3.07,2.796,2.679,,,,,,,
2021-02-01 13:00:00,2.736,3.0,2.991,3.121,2.798,2.758,3.073,2.868,2.762,,,,,,,
2021-02-01 14:00:00,2.826,3.108,3.071,3.266,2.926,2.857,3.076,2.938,2.836,,,,,,,
2021-02-01 15:00:00,2.88,3.014,2.859,3.175,3.097,3.02,3.205,2.901,2.896,,,,,,,
2021-02-01 16:00:00,2.871,3.074,2.936,3.259,3.085,3.049,3.189,2.905,2.883,,,,,,,
2021-02-01 17:00:00,2.862,3.139,3.022,3.36,3.072,3.08,3.173,2.908,2.871,,,,,,,
2021-02-01 18:00:00,2.854,3.21,3.118,3.481,3.059,3.116,3.158,2.912,2.858,,,,,,,
