Tarih,İzmir,Aliağa,Çeşme,Bergama,Manisa,Akhisar,Salihli,Çiğli,Menderes,Alaşehir,Demirci,Güzelyalı,Kula,Ödemiş,Soma,Urla
2021-02-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-01 04:00:00,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.021,,,,,,,
2021-02-01 05:00:00,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.042,,,,,,,
2021-02-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,,,,,,,
2021-02-01 07:00:00,0.021,0.0,0.229,0.0,0.0,0.0,0.0,0.021,0.125,,,,,,,
2021-02-01 08:00:00,0.042,0.0,0.458,0.0,0.0,0.0,0.0,0.042,0.188,,,,,,,
2021-02-01 09:00:00,0.063,0.0,0.688,0.0,0.0,0.0,0.0,0.063,0.25,,,,,,,
2021-02-01 10:00:00,0.063,0.0,0.896,0.0,0.0,0.0,0.0,0.063,0.208,,,,,,,
2021-02-01 11:00:00,0.063,0.0,1.104,0.0,0.0,0.0,0.0,0.063,0.167,,,,,,,
2021-02-01 12:00:00,0.063,0.0,0.688,0.0,0.0,0.0,0.0,0.063,0.063,,,,,,,
2021-02-01 13:00:00,0.063,0.0,0.729,0.0,0.0,0.0,0.0,0.063,0.063,,,,,,,
2021-02-01 14:00:00,0.063,0.0,0.771,0.0,0.0,0.0,0.0,0.063,0.063,,,,,,,
2021-02-01 15:00:00,0.063,0.0,0.813,0.0,0.0,0.0,0.0,0.063,0.063,,,,,,,
2021-02-01 16:00:00,0.042,0.146,1.313,0.146,0.0,0.0,0.0,0.042,0.042,,,,,,,
2021-02-01 17:00:00,0.021,0.292,1.813,0.292,0.0,0.0,0.0,0.021,0.021,,,,,,,
2021-02-01 18:00:00,0.0,0.313,1.875,0.313,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-01 19:00:00,0.667,1.292,4.125,1.292,0.021,0.0,0.0,0.667,0.542,,,,,,,
2021-02-01 20:00:00,1.333,2.271,6.375,2.271,0.042,0.0,0.0,1.333,1.083,,,,,,,
2021-02-01 21:00:00,2.0,3.25,8.625,3.25,0.063,0.0,0.0,2.0,1.625,,,,,,,
2021-02-01 22:00:00,2.896,4.333,7.75,4.333,0.333,0.042,0.063,2.896,2.333,,,,,,,
2021-02-01 23:00:00,3.792,5.417,6.875,5.417,0.604,0.083,0.125,3.792,3.042,,,,,,,
2021-02-02 00:00:00,4.0,5.125,6.375,5.125,0.813,0.063,0.125,4.0,4.0,,,,,,,
2021-02-02 01:00:00,5.625,6.958,7.417,6.958,1.063,0.104,0.188,5.625,5.896,,,,,,,
2021-02-02 02:00:00,7.25,8.792,8.458,8.792,1.313,0.146,0.25,7.25,7.792,,,,,,,
2021-02-02 03:00:00,8.875,10.625,9.5,10.625,1.563,0.188,0.313,8.875,9.688,,,,,,,
2021-02-02 04:00:00,6.813,8.063,6.625,8.063,1.25,0.125,0.229,6.813,7.979,,,,,,,
2021-02-02 05:00:00,4.75,5.5,3.75,5.5,0.938,0.063,0.146,4.75,6.271,,,,,,,
2021-02-02 06:00:00,3.313,3.0,1.438,3.0,1.25,0.125,0.125,3.313,5.375,,,,,,,
2021-02-02 07:00:00,4.313,4.229,2.771,4.229,1.313,0.125,0.125,4.313,6.458,,,,,,,
2021-02-02 08:00:00,5.313,5.458,4.104,5.458,1.375,0.125,0.125,5.313,7.542,,,,,,,
2021-02-02 09:00:00,6.313,6.688,5.438,6.688,1.438,0.125,0.125,6.313,8.625,,,,,,,
2021-02-02 10:00:00,4.667,5.042,4.792,5.042,0.958,0.083,0.083,4.667,6.438,,,,,,,
2021-02-02 11:00:00,3.021,3.396,4.146,3.396,0.479,0.042,0.042,3.021,4.25,,,,,,,
2021-02-02 12:00:00,1.75,1.875,3.625,1.875,0.063,0.0,0.0,1.75,2.563,,,,,,,
2021-02-02 13:00:00,2.625,2.75,5.188,2.75,0.229,0.0,0.0,2.625,3.271,,,,,,,
2021-02-02 14:00:00,3.5,3.625,6.75,3.625,0.396,0.0,0.0,3.5,3.979,,,,,,,
2021-02-02 15:00:00,4.375,4.5,8.313,4.5,0.563,0.0,0.0,4.375,4.688,,,,,,,
2021-02-02 16:00:00,3.5,5.063,7.979,5.063,0.521,0.021,0.042,3.5,3.563,,,,,,,
2021-02-02 17:00:00,2.625,5.625,7.646,5.625,0.479,0.042,0.083,2.625,2.438,,,,,,,
2021-02-02 18:00:00,4.938,5.063,2.938,5.063,1.875,0.875,0.375,4.938,4.125,,,,,,,
2021-02-02 19:00:00,6.333,7.458,4.521,7.458,2.083,1.0,0.417,6.333,5.396,,,,,,,
2021-02-02 20:00:00,7.729,9.854,6.104,9.854,2.292,1.125,0.458,7.729,6.667,,,,,,,
2021-02-02 21:00:00,9.125,12.25,7.688,12.25,2.5,1.25,0.5,9.125,7.938,,,,,,,
2021-02-02 22:00:00,7.396,9.771,6.188,9.771,1.729,0.854,0.333,7.396,7.021,,,,,,,
2021-02-02 23:00:00,5.667,7.292,4.688,7.292,0.958,0.458,0.167,5.667,6.104,,,,,,,
2021-02-03 00:00:00,4.875,4.875,4.0,4.875,0.5,0.25,0.063,4.875,5.438,,,,,,,
2021-02-03 01:00:00,5.896,5.917,5.5,5.917,0.542,0.271,0.063,5.896,6.521,,,,,,,
2021-02-03 02:00:00,6.917,6.958,7.0,6.958,0.583,0.292,0.063,6.917,7.604,,,,,,,
2021-02-03 03:00:00,7.938,8.0,8.5,8.0,0.625,0.313,0.063,7.938,8.688,,,,,,,
2021-02-03 04:00:00,5.854,5.792,7.042,5.792,0.438,0.208,0.042,5.854,6.396,,,,,,,
2021-02-03 05:00:00,3.771,3.583,5.583,3.583,0.25,0.104,0.021,3.771,4.104,,,,,,,
2021-02-03 06:00:00,0.75,0.313,2.125,0.313,0.0,0.0,0.0,0.75,0.688,,,,,,,
2021-02-03 07:00:00,0.896,0.354,2.771,0.354,0.0,0.0,0.0,0.896,0.833,,,,,,,
2021-02-03 08:00:00,1.042,0.396,3.417,0.396,0.0,0.0,0.0,1.042,0.979,,,,,,,
2021-02-03 09:00:00,1.188,0.438,4.063,0.438,0.0,0.0,0.0,1.188,1.125,,,,,,,
2021-02-03 10:00:00,0.792,0.292,2.729,0.292,0.0,0.0,0.0,0.792,0.75,,,,,,,
2021-02-03 11:00:00,0.396,0.146,1.396,0.146,0.0,0.0,0.0,0.396,0.375,,,,,,,
2021-02-03 12:00:00,0.0,0.0,0.313,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-03 13:00:00,0.396,0.021,0.479,0.021,0.063,0.0,0.0,0.396,0.208,,,,,,,
2021-02-03 14:00:00,0.792,0.042,0.646,0.042,0.125,0.0,0.0,0.792,0.417,,,,,,,
2021-02-03 15:00:00,1.188,0.063,0.813,0.063,0.188,0.0,0.0,1.188,0.625,,,,,,,
2021-02-03 16:00:00,0.875,0.042,0.542,0.042,0.125,0.0,0.0,0.875,0.479,,,,,,,
2021-02-03 17:00:00,0.563,0.021,0.271,0.021,0.063,0.0,0.0,0.563,0.333,,,,,,,
2021-02-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,,,,,,,
2021-02-03 19:00:00,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.063,,,,,,,
2021-02-03 20:00:00,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.063,,,,,,,
2021-02-03 21:00:00,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.063,,,,,,,
2021-02-03 22:00:00,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.042,,,,,,,
2021-02-03 23:00:00,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.021,,,,,,,
2021-02-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-05 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-02-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
