trafo_id,ŞEBEKE_UNSURU_KODU
0,TR-129 35-19-L00129_DIREK TIPI TRAFO HUCRESI H01_2034310
1,K-633 35-02-K00633_K-259 K01_2034347
2,UZUNDERE TM 35-01-A00013_İKİZTEPE M10_2034358
3,SİNDEL TR-1 35-16-M00029_DIREK TIPI TRAFO HUCRESI H01_2034424
4,M-1433 35-02-M01433_M-1611 M03_2034635
5,ÇALTI KÖY TR-1 35-24-M00075_DIREK TIPI TRAFO HUCRESI H01_2034646
6,M-891 35-02-M00891_M-1657 M01_2034653
7,M-1433 35-02-M01433_M-1601 M04_2034662
8,M-1433 35-02-M01433_YILMAZ DÖKÜM M01_2034664
9,YEŞİLYAYLA TR-5 45-77-M00138_DIREK TIPI TRAFO HUCRESI H01_2034683
10,K-914 35-01-K00914_K-4832 K02_2034889
11,M-2358 35-02-M02358_DIREK TIPI TRAFO HUCRESI H01_2034916
12,SOMA TR-27 45-82-M00027_TR-27/2 M02_2035145
13,ALTINORDU SPOR TESİSLERİ ÖZEL TR 35-13-L00226Ö_DIREK TIPI TRAFO HUCRESI H01_2035192
14,L-247 AHMETBEY ÇEŞMESİ 35-14-L00247_DIREK TIPI TRAFO HUCRESI H01_2035231
15,ÇAMÖNÜ TR-9 35-22-M00174_DIREK TIPI TRAFO HUCRESI H01_2035291
16,M-1181 35-04-M01181_M-1473 M02_2035340
17,DEVELİ TR-3 35-22-M00285_DIREK TIPI TRAFO HUCRESI H01_2035391
18,ÇAMÖNÜ TR-10 35-22-M00171_DIREK TIPI TRAFO HUCRESI H01_2035394
19,YELKİ İM 35-10-A00003_ZEYBEK (DM-1/3) M03_2035430
20,M-1512 35-02-M01512_M-2367 M02_2035491
21,GÖZTEPE İM 35-01-A00004_TR-1 34.5 M04_2035503
22,YELKİ İM 35-10-A00003_URLA TM  GİRİŞ M08_2035526
23,SUBAŞI İM 35-26-A00002_TRAFO 15.8 GİRİŞ L05_2035572
24,SUBAŞI İM 35-26-A00002_SUBAŞI/TAMSA M01_2035577
25,SUBAŞI İM 35-26-A00002_PAMUKYAZI L04_2035578
26,SUBAŞI İM 35-26-A00002_NAİME L03_2035579
27,SUBAŞI İM 35-26-A00002_SUBAŞI 15.8 ŞEHİR L02_2035582
28,SUBAŞI İM 35-26-A00002_PAMUKYAZI L04_2035585
29,SARIAHMETLER MAHALLESİ TR-1 35-24-M00081_DIREK TIPI TRAFO HUCRESI H01_2035647
30,FOÇA M-258 35-23-M00258_DIREK TIPI TRAFO HUCRESI H01_2035731
31,SOMA KÖYLER DM-2 45-82-M00125_BERGAMA M02_2035736
32,SOMA KÖYLER DM-2 45-82-M00125_DM-2 FİDER-1 (SOMA-B) M04_2035739
33,MUSTAKLAR TR-1 35-24-M00101_DIREK TIPI TRAFO HUCRESI H01_2035741
34,SOMA KÖYLER DM-2 45-82-M00125_KÖYLER 34.5 M08_2035836
35,SOMA KÖYLER DM-2 45-82-M00125_SAVAŞTEPE 34.5 M09_2035838
36,DENİZKÖY TR-1 35-30-M00594_DIREK TIPI TRAFO HUCRESI H01_2035871
37,SOMA DM-5/17 45-82-M00421_TR-17/3 M03_2035881
38,NACİ BEZİRGANOĞLU SULAMA GRUBU 35-29-L00286_DIREK TIPI TRAFO HUCRESI H01_2036012
39,M-915 35-01-M00915_M-915 ÖZEL M02_2036177
40,GÖZTEPE İM 35-01-A00004_TR-2 10.5 K17_2036301
41,AYTEKİN KENTLİ ÖZEL TR 35-13-L00387Ö_DIREK TIPI TRAFO HUCRESI H01_2036461
42,MEHMET HAYRİ ERİŞEN ÖZEL TR 35-13-L00389Ö_DIREK TIPI TRAFO HUCRESI H01_2036463
43,M-879 GÖKÇELER 35-02-M00879_DIREK TIPI TRAFO HUCRESI H01_2036637
44,M-875 35-02-M00875_DIREK TIPI TRAFO HUCRESI H01_2036642
45,YAŞAR TIĞLIOĞLU ÖZEL TR 35-13-L00337Ö_DIREK TIPI TRAFO HUCRESI H01_2036666
46,TOKATBAŞI TR-3 35-20-L00103_DIREK TIPI TRAFO HUCRESI H01_2036776
47,MER TAŞ MERMER ÖZEL TR 35-26-M00478Ö_DIREK TIPI TRAFO HUCRESI H01_2036917
48,KAPAKLI TR-4 45-72-M00313_DIREK TIPI TRAFO HUCRESI H01_2037109
49,UMURCALI TR 5 35-31-L00109_DIREK TIPI TRAFO HUCRESI H01_2037211
50,UMURCALI TR 4 35-31-L00108_DIREK TIPI TRAFO HUCRESI H01_2037212
51,UMURCALI TR 3 35-31-L00106_DIREK TIPI TRAFO HUCRESI H01_2037214
52,ESKİOBA KÖK 35-29-L00037_MAHMUTLAR L02_2037245
53,KARABURÇ HÜSEYİN AYKAN TR-8 35-31-L00257_DIREK TIPI TRAFO HUCRESI H01_2037326
54,ÇAYBAŞI DM-1/19 35-26-M00182_ M01_2037659
55,ALİ GÜLKAYNAK ÖZEL 35-22-M00468Ö_DIREK TIPI TRAFO HUCRESI H01_2037682
56,HÜSEYİN DALGIÇ TARIMSAL SULAMA TR 45-78-M01055_DIREK TIPI TRAFO HUCRESI H01_2037800
57,YAŞAR SÖKELİOĞLU -2 35-20-L00100_DIREK TIPI TRAFO HUCRESI H01_2038052
58,TOKATBAŞI TR-1 35-20-L00101_DIREK TIPI TRAFO HUCRESI H01_2038053
59,FIRINLI TR-5 35-20-L00092_DIREK TIPI TRAFO HUCRESI H01_2038054
60,KALEMOĞLU TR-1 45-75-M00318_DIREK TIPI TRAFO HUCRESI H01_2038117
